school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,Cluster
GP,M,U,GT3,T,services,teacher,home,mother,no,no,no,no,yes,yes,yes,no,3
GP,M,R,LE3,T,teacher,other,home,father,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,services,teacher,home,mother,no,yes,no,no,yes,yes,yes,no,0
GP,F,U,LE3,T,teacher,teacher,reputation,mother,no,yes,yes,no,yes,yes,yes,no,1
GP,F,U,GT3,T,health,other,home,mother,no,yes,no,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,yes,yes,yes,yes,no,no,0
GP,F,U,GT3,T,other,other,course,mother,no,yes,yes,no,no,yes,no,no,0
GP,F,R,GT3,T,other,other,reputation,mother,no,yes,no,no,yes,yes,yes,no,0
GP,F,R,GT3,T,services,services,reputation,mother,no,yes,yes,yes,no,yes,yes,no,0
GP,F,U,GT3,T,at_home,services,home,mother,no,yes,yes,no,yes,yes,yes,yes,1
GP,F,U,GT3,A,services,other,course,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,teacher,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,at_home,other,home,mother,no,yes,yes,no,yes,yes,no,no,2
GP,F,R,GT3,T,teacher,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,other,other,reputation,other,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,LE3,T,services,other,home,mother,no,yes,yes,no,yes,yes,yes,yes,1
GP,F,U,GT3,A,other,other,reputation,mother,yes,yes,yes,no,yes,yes,yes,no,0
GP,M,U,GT3,T,services,other,home,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,R,LE3,T,services,other,other,mother,no,yes,yes,no,yes,yes,no,no,2
GP,F,U,LE3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,yes,0
GP,M,U,LE3,T,services,health,home,father,no,yes,yes,no,yes,yes,yes,no,3
GP,F,U,GT3,T,at_home,other,home,father,no,yes,yes,no,yes,yes,no,no,2
GP,F,U,GT3,T,at_home,at_home,course,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,R,GT3,T,at_home,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,at_home,other,reputation,mother,no,yes,no,yes,yes,yes,no,yes,0
GP,F,U,GT3,T,services,teacher,other,mother,yes,no,no,no,yes,yes,yes,no,3
GP,M,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,teacher,services,home,mother,no,yes,no,yes,no,yes,yes,no,0
GP,F,R,GT3,T,other,other,reputation,mother,no,no,no,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,yes,no,0
GP,M,U,LE3,T,services,services,reputation,father,no,yes,yes,no,no,yes,yes,no,3
GP,M,U,LE3,T,at_home,other,course,mother,yes,yes,yes,yes,yes,yes,yes,yes,1
GP,F,U,GT3,A,other,other,course,mother,no,no,no,yes,yes,yes,yes,yes,0
GP,F,U,LE3,T,health,other,reputation,father,no,no,no,yes,yes,yes,yes,yes,0
GP,M,R,GT3,T,other,other,course,father,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,teacher,teacher,reputation,mother,yes,yes,no,yes,yes,yes,yes,yes,0
GP,M,U,GT3,T,health,other,reputation,father,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,LE3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,M,U,GT3,T,at_home,other,reputation,mother,no,no,no,yes,yes,yes,yes,yes,0
GP,M,U,LE3,T,other,other,home,father,no,no,yes,yes,no,yes,yes,yes,1
GP,F,U,GT3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,yes,0
GP,F,R,GT3,T,at_home,services,course,mother,no,no,no,yes,yes,yes,no,no,2
GP,M,U,GT3,T,other,services,reputation,father,no,no,no,no,yes,no,yes,no,3
GP,M,U,LE3,T,health,other,course,mother,no,no,no,yes,yes,yes,yes,yes,1
GP,M,R,LE3,A,teacher,other,course,mother,no,yes,yes,no,yes,yes,yes,no,1
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,yes,no,yes,yes,no,0
GP,M,U,GT3,T,services,services,course,mother,no,no,no,yes,yes,yes,yes,no,3
GP,F,U,GT3,T,other,other,course,other,no,yes,yes,no,no,yes,yes,yes,0
GP,M,U,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no,0
GP,M,U,GT3,T,other,other,course,father,no,no,no,no,yes,yes,yes,no,3
GP,M,U,GT3,T,services,services,other,mother,no,no,no,no,no,no,yes,yes,3
GP,M,R,LE3,T,other,services,course,mother,no,yes,no,no,yes,yes,yes,yes,1
GP,M,U,GT3,T,other,other,other,mother,no,no,yes,no,no,yes,yes,no,0
GP,M,U,GT3,T,services,other,course,mother,no,no,no,no,yes,no,yes,no,3
GP,M,U,GT3,T,at_home,other,reputation,other,yes,yes,no,no,no,yes,yes,no,0
GP,M,U,GT3,T,services,services,other,mother,no,no,no,no,no,no,yes,no,3
GP,M,R,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,no,no,2
GP,M,R,GT3,T,other,other,course,mother,no,no,no,no,no,yes,yes,no,2
GP,M,U,LE3,T,health,other,course,mother,no,yes,no,yes,yes,yes,yes,no,0
GP,F,U,LE3,T,teacher,services,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,LE3,A,services,at_home,reputation,mother,no,yes,no,no,yes,yes,yes,no,3
GP,M,U,GT3,T,other,other,home,mother,no,no,no,yes,yes,yes,yes,no,0
GP,F,U,LE3,T,services,services,course,father,no,no,yes,yes,yes,yes,yes,yes,1
GP,F,U,GT3,T,services,other,home,father,no,yes,yes,no,yes,yes,yes,yes,3
GP,M,U,GT3,T,teacher,other,course,mother,no,yes,yes,no,no,yes,yes,no,0
GP,M,R,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,no,no,2
GP,F,U,GT3,T,other,other,home,mother,no,no,no,yes,no,yes,no,no,0
GP,F,U,GT3,T,at_home,services,home,mother,no,yes,yes,yes,yes,yes,yes,yes,0
GP,M,R,LE3,A,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,services,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,1
GP,F,R,GT3,T,teacher,other,reputation,mother,no,no,yes,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,health,other,reputation,father,no,yes,yes,yes,yes,yes,yes,yes,0
GP,F,R,GT3,T,other,other,reputation,mother,no,yes,no,no,yes,no,yes,yes,0
GP,F,U,GT3,T,other,services,home,other,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,other,services,reputation,father,no,yes,yes,yes,yes,yes,yes,yes,0
GP,F,U,LE3,T,other,other,home,mother,no,yes,yes,no,no,yes,no,no,0
GP,M,R,GT3,T,at_home,at_home,home,mother,no,yes,yes,yes,no,yes,no,yes,2
GP,F,U,GT3,T,at_home,health,reputation,mother,no,yes,yes,no,yes,yes,yes,yes,0
GP,F,U,LE3,T,services,other,course,mother,yes,yes,yes,no,yes,yes,yes,yes,1
GP,F,R,GT3,A,other,services,home,mother,no,no,no,no,no,no,yes,yes,2
GP,M,U,GT3,T,teacher,services,home,mother,no,no,yes,yes,yes,yes,yes,no,1
GP,F,U,GT3,T,health,health,reputation,father,yes,yes,no,yes,yes,yes,yes,yes,0
GP,M,U,LE3,T,teacher,services,course,mother,no,no,yes,yes,yes,yes,yes,no,1
GP,M,U,LE3,A,services,other,home,mother,no,no,yes,yes,yes,yes,yes,yes,1
GP,M,U,LE3,A,teacher,services,home,mother,no,no,no,no,yes,yes,yes,no,1
GP,F,R,LE3,T,at_home,other,reputation,mother,no,yes,yes,yes,yes,yes,no,no,2
GP,F,U,GT3,T,other,other,home,mother,yes,no,no,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,no,yes,yes,no,0
GP,M,U,GT3,T,other,other,reputation,father,no,no,yes,no,no,yes,yes,no,3
GP,F,U,GT3,T,at_home,at_home,other,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,services,teacher,reputation,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,M,U,GT3,T,services,services,reputation,mother,no,no,yes,yes,yes,yes,yes,no,3
GP,M,U,LE3,A,teacher,teacher,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,1
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,health,services,reputation,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,LE3,T,services,at_home,reputation,mother,no,no,no,no,yes,yes,yes,yes,1
GP,F,R,LE3,T,services,other,reputation,mother,no,yes,yes,no,yes,yes,no,no,2
GP,M,R,LE3,T,services,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,health,other,home,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,health,other,reputation,other,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,LE3,T,other,other,home,other,no,yes,yes,no,yes,yes,yes,yes,0
GP,F,U,GT3,T,other,other,reputation,father,no,yes,yes,no,yes,yes,yes,no,0
GP,M,U,LE3,T,teacher,teacher,home,mother,no,yes,yes,no,yes,yes,yes,yes,1
GP,F,U,LE3,A,health,other,home,mother,no,yes,no,no,yes,yes,yes,yes,0
GP,M,U,LE3,T,other,teacher,home,father,no,no,yes,no,yes,yes,yes,no,3
GP,F,U,GT3,T,other,other,reputation,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,health,health,reputation,father,no,yes,yes,yes,no,yes,yes,no,0
GP,M,U,GT3,T,other,other,home,other,no,yes,no,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,services,at_home,reputation,other,no,yes,yes,yes,yes,yes,yes,no,0
GP,M,U,GT3,A,services,other,course,other,no,no,no,yes,yes,yes,no,no,0
GP,M,U,GT3,T,teacher,services,reputation,other,no,yes,yes,no,yes,yes,yes,yes,1
GP,M,R,GT3,T,other,services,reputation,father,no,no,no,yes,yes,yes,no,yes,3
GP,F,U,LE3,T,at_home,other,reputation,other,yes,yes,no,yes,no,yes,yes,no,0
GP,F,U,LE3,T,services,services,home,other,no,no,no,yes,no,yes,no,yes,3
GP,F,U,GT3,T,at_home,other,other,other,no,yes,no,no,yes,no,yes,yes,0
GP,M,U,GT3,T,other,services,course,other,no,no,no,no,no,yes,yes,no,3
GP,F,U,LE3,T,services,other,reputation,other,no,yes,yes,no,no,yes,yes,yes,1
GP,F,U,GT3,T,at_home,health,home,other,no,no,no,no,no,yes,yes,yes,3
GP,F,R,GT3,T,other,other,reputation,other,no,no,no,no,yes,yes,yes,yes,2
GP,F,U,GT3,T,services,other,course,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,other,other,course,mother,no,yes,yes,yes,yes,yes,yes,yes,0
GP,F,R,GT3,T,at_home,services,course,father,no,yes,yes,yes,no,yes,yes,no,0
GP,F,U,GT3,T,teacher,other,course,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,A,services,services,course,mother,no,yes,yes,no,yes,yes,yes,yes,1
GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,no,yes,0
GP,F,R,LE3,T,services,services,course,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,services,services,course,father,no,yes,no,no,no,yes,yes,no,3
GP,F,U,LE3,T,at_home,at_home,home,father,no,no,no,no,yes,yes,yes,no,3
GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,other,services,reputation,mother,no,no,no,yes,no,yes,yes,no,0
GP,M,R,GT3,T,services,other,course,mother,no,yes,no,no,yes,yes,yes,no,0
GP,F,U,GT3,T,teacher,services,course,mother,no,yes,yes,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,teacher,teacher,course,mother,no,yes,yes,no,no,yes,yes,yes,1
GP,M,U,LE3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no,0
GP,F,R,GT3,T,at_home,other,course,father,no,yes,no,no,yes,yes,yes,yes,2
GP,F,U,GT3,T,services,services,home,mother,no,no,no,yes,yes,yes,yes,no,3
GP,F,U,LE3,T,other,other,home,other,no,no,no,yes,no,yes,yes,yes,0
GP,F,R,GT3,T,at_home,other,course,mother,no,no,no,yes,yes,yes,no,no,2
GP,F,U,GT3,T,services,other,course,mother,no,no,no,no,yes,yes,yes,no,0
GP,F,R,GT3,A,services,at_home,home,other,no,no,yes,no,yes,yes,no,no,2
GP,F,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,yes,0
GP,F,U,LE3,T,services,services,home,mother,no,yes,no,no,yes,yes,yes,no,3
GP,F,R,GT3,A,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no,0
GP,F,U,GT3,T,services,services,home,other,no,no,yes,yes,yes,yes,yes,yes,3
GP,M,U,GT3,T,teacher,services,home,father,no,yes,no,yes,yes,yes,yes,no,3
GP,M,U,LE3,T,services,other,home,mother,no,no,no,yes,yes,yes,yes,yes,1
GP,F,U,GT3,A,at_home,at_home,home,father,no,yes,no,no,yes,yes,yes,yes,3
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,yes,no,0
GP,F,U,GT3,T,other,services,other,mother,no,no,no,no,yes,yes,yes,yes,0
GP,M,R,GT3,T,teacher,services,course,mother,no,no,no,no,yes,yes,yes,yes,1
GP,M,U,GT3,T,teacher,other,course,mother,no,yes,yes,no,yes,yes,yes,yes,1
GP,F,U,GT3,T,health,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes,0
MS,M,R,GT3,T,other,other,course,mother,no,yes,no,no,no,yes,yes,no,0
MS,M,R,GT3,T,other,services,home,other,no,no,no,no,yes,yes,yes,no,3
MS,M,U,GT3,T,health,other,course,mother,no,yes,yes,no,yes,yes,yes,no,0
MS,M,U,LE3,T,at_home,services,course,mother,no,no,no,no,yes,no,yes,yes,1
MS,M,R,GT3,T,other,other,home,other,no,yes,no,no,yes,yes,yes,no,0
MS,M,R,GT3,T,services,other,home,mother,no,yes,yes,yes,no,yes,yes,yes,0
MS,F,U,GT3,T,services,services,course,father,no,yes,no,no,yes,yes,no,yes,3
MS,F,R,GT3,T,teacher,services,other,father,no,yes,yes,yes,yes,yes,yes,no,0
MS,F,U,LE3,A,services,other,reputation,mother,no,no,no,no,yes,yes,no,yes,2
MS,M,U,LE3,T,other,services,home,father,no,no,no,no,no,yes,yes,yes,3
MS,F,U,LE3,T,at_home,services,course,father,no,no,no,no,yes,yes,yes,no,3
MS,F,R,LE3,A,at_home,other,course,mother,no,no,no,no,yes,yes,no,yes,2
MS,M,R,LE3,T,at_home,other,other,mother,no,no,no,yes,no,no,no,no,2
MS,F,U,GT3,T,services,services,other,mother,no,yes,no,no,yes,yes,yes,yes,0
MS,F,U,LE3,T,at_home,at_home,course,mother,no,yes,yes,yes,yes,yes,yes,yes,0
MS,F,R,GT3,T,other,services,course,father,no,no,no,no,no,yes,no,no,2
MS,M,R,GT3,T,at_home,other,course,mother,no,yes,yes,no,yes,yes,no,no,2
MS,M,U,LE3,T,teacher,services,other,mother,no,no,yes,no,yes,yes,yes,yes,1
MS,F,R,GT3,T,other,services,reputation,mother,no,yes,yes,no,yes,yes,yes,yes,0
MS,F,U,GT3,T,at_home,services,course,father,no,yes,yes,no,yes,yes,yes,yes,1
MS,F,R,GT3,T,other,teacher,other,father,no,yes,yes,no,no,yes,yes,yes,0
MS,F,U,LE3,T,services,services,home,other,no,no,no,yes,yes,yes,no,yes,3
MS,M,R,LE3,T,at_home,services,other,father,no,yes,yes,yes,yes,no,yes,yes,1
MS,F,U,GT3,T,other,at_home,home,mother,no,no,no,yes,yes,yes,no,yes,0
MS,F,R,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no,0
MS,F,R,LE3,T,other,other,reputation,mother,no,no,no,no,yes,yes,yes,no,2
MS,F,R,GT3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,no,2
MS,F,U,GT3,T,health,other,course,other,no,yes,yes,no,no,yes,yes,yes,0
MS,F,R,LE3,T,teacher,services,course,mother,no,no,yes,yes,yes,yes,yes,no,1
MS,F,U,GT3,T,other,other,home,mother,no,no,yes,no,yes,yes,yes,yes,0
MS,F,R,GT3,T,at_home,other,reputation,mother,no,yes,yes,yes,no,yes,yes,no,0
MS,M,U,GT3,T,teacher,teacher,home,father,no,no,yes,yes,no,yes,yes,no,3
MS,M,R,GT3,T,other,other,other,mother,no,no,no,yes,no,yes,yes,yes,0
MS,M,U,GT3,T,other,services,home,father,no,no,no,yes,yes,yes,yes,no,3
MS,M,R,GT3,T,other,services,other,mother,no,no,no,no,yes,yes,no,no,2
MS,M,R,GT3,T,other,other,home,father,no,no,yes,no,yes,yes,no,no,2
MS,F,R,GT3,T,at_home,other,other,mother,no,no,yes,no,yes,yes,no,no,2
MS,F,R,GT3,T,teacher,at_home,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes,0
MS,F,R,GT3,T,services,other,course,mother,no,no,no,yes,no,yes,yes,no,0
MS,F,U,LE3,T,teacher,services,course,mother,no,yes,yes,no,yes,yes,yes,no,1
MS,F,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,no,no,0
MS,M,U,LE3,A,services,services,course,other,no,yes,yes,no,yes,yes,no,no,1
MS,M,U,LE3,T,services,services,course,mother,no,no,no,no,no,yes,yes,no,1
MS,M,R,GT3,T,other,other,course,other,no,no,no,no,no,yes,no,no,2
MS,M,R,LE3,T,services,other,course,mother,no,no,no,no,no,yes,yes,no,2
MS,M,U,LE3,T,other,at_home,course,father,no,no,no,no,yes,yes,yes,no,3
